Run name: L03_LOSS03__relCplx__W0__N1_F16_seed0
Config name: LOSS03__relCplx__W0__N1
Feature idx: [1 2 3 4 5 6 7 8 9 10 11 16 17 18 19 20]
Feature count: 16
Loss name: relCplx
Loss mode: 1
Use weight: 0
Use norm: 1
epsA: 0.0001
tau: 0.01
Final train loss: 0.3540715575

Validation metrics
mean|s| GT      : 0.03003562801
mean|s| Pred    : 0.03003627248
mean|delta s|   : 9.34351483e-05
mean dphi       : -0.002496070694
std dphi        : 0.008128855377
mean |dphi|     : 0.003206100082
complex NRSE    : 0.003292428795
complex MAE     : 9.34351483e-05
NRSE Re         : 0.0016027292
NRSE Im         : 0.01255285367
Magnitude NRSE  : 0.001502741943
Magnitude MAE   : 3.650348299e-05
