Run name: A08_NDIV4__phaseTrig__PT-prepOH_F18_seed0
Config name: NDIV4__phaseTrig__PT+prepOH
Feature idx: [1 2 3 4 5 6 7 8 9 12 13 14 15 16 17 18 19 20]
Feature count: 18
Frequency mode: phaseTrig
Time mode: PT+prepOH
Neuron div: 4
numNeurons: [40 60 80 90 120 130 150]
Final train loss: 0.3055555522

Validation metrics
mean|s| GT      : 0.02936219238
mean|s| Pred    : 0.0293758139
mean|delta s|   : 7.050533168e-05
mean dphi       : 0.0002086321474
std dphi        : 0.006605787668
mean |dphi|     : 0.001853179652
complex NRSE    : 0.002635624958
complex MAE     : 7.050533168e-05
NRSE Re         : 0.002072967123
NRSE Im         : 0.007215739228
Magnitude NRSE  : 0.002000649925
Magnitude MAE   : 4.850347614e-05
