Run name: A02_NDIV1__phaseTrig__PT-prepOH_F18_seed0
Config name: NDIV1__phaseTrig__PT+prepOH
Feature idx: [1 2 3 4 5 6 7 8 9 12 13 14 15 16 17 18 19 20]
Feature count: 18
Frequency mode: phaseTrig
Time mode: PT+prepOH
Neuron div: 1
numNeurons: [160 240 320 360 480 520 600]
Final train loss: 0.3059213161

Validation metrics
mean|s| GT      : 0.02942766622
mean|s| Pred    : 0.02929550968
mean|delta s|   : 0.0003983051574
mean dphi       : 0.001421873458
std dphi        : 0.03656310588
mean |dphi|     : 0.009941327386
complex NRSE    : 0.01473558694
complex MAE     : 0.0003983051574
NRSE Re         : 0.01222264301
NRSE Im         : 0.03678129241
Magnitude NRSE  : 0.01179322321
Magnitude MAE   : 0.0002919807739
